doc,arquivo,contexto_id,categoria,trecho,termos_vizinhos
PDI_UFABC,PDI UFABC.pdf,1,artistica_patrimonial,"políticas de cultura, arte, saúde, esporte e lazer, introdução1 e do regimento geral, constitui uma das bases documentais de sustentação e de identificação da universidade.","políticas, arte, saúde, esporte, lazer, introdução, regimento, geral"
PDI_UFABC,PDI UFABC.pdf,2,diversidade_inclusao," valorização e promoção do respeito à diversidade étnico-racial, de gênero, de origem, de idade, de situação social, econômica e cultural.","valorização, promoção, respeito, diversidade, étnico, racial, gênero, origem"
PDI_UFABC,PDI UFABC.pdf,3,academica_formativa," internacionalização para oferecer um ambiente de ensino, pesquisa, extensão, cultura e gestão atento às necessidades e transformações do mundo contemporâneo.","internacionalização, oferecer, ambiente, ensino, pesquisa, extensão, gestão, atento"
PDI_UFABC,PDI UFABC.pdf,4,academica_formativa,"os demais capítulos tratam das questões estratégicas referentes às atividades de ensino, pesquisa, desenvolvimento, inovação, internacionalização, cultura, extensão, inclusão e permanência.","demais, capítulos, tratam, questões, estratégicas, referentes, s, atividades"
PDI_UFABC,PDI UFABC.pdf,5,indefinido,"políticas de cultura, esporte e lazer) que auxiliaram a comissão pdi, instituída em janeiro de estruturantes para a composição do documento.","políticas, esporte, lazer, auxiliaram, comissão, instituída, janeiro, estruturantes"
PDI_UFABC,PDI UFABC.pdf,6,organizacional_gestao,"assim, no que diz respeito à prática da interdisciplinaridade, nos próximos anos a instituição deve se esforçar para superar obstáculos e estimular uma cultura de interdisciplinaridade em todos os seus setores de atuação - incentivando, valorizando e impulsionando a colaboração entre docentes, discentes e técnicas e técnicos, proporcionando espaços para a inovação de práticas pedagógicas e de gestão integradoras.","interdisciplinaridade, assim, diz, respeito, prática, próximos, anos, instituição"
PDI_UFABC,PDI UFABC.pdf,7,inovacao_empreendedorismo,"os ptes, além dos resultados diretamente relacionados à pós-graduação, também podem se articular com atividades de extensão e cultura, iniciação científica (ic) e inovação tecnológica, com fomentos específicos para o provimento de bolsas e de custeio para a execução dos projetos, oriundos de fontes internas e externas à ufabc.","ptes, além, resultados, diretamente, relacionados, pós, graduação, também"
PDI_UFABC,PDI UFABC.pdf,8,inovacao_empreendedorismo,"a consolidação e o funcionamento efetivo do observatório da ufabc podem contribuir para o acompanhamento e avaliação da eficiência e abrangência dessas práticas, promovendo uma cultura de inovação e autoavaliação permanente.","consolidação, funcionamento, efetivo, observatório, ufabc, podem, contribuir, acompanhamento"
PDI_UFABC,PDI UFABC.pdf,9,indefinido,"vinculando tal base com outra que conteria informações sobre as matrículas deferidas ou indeferidas, seria possível analisar em que medida as condições socioeconômicas estariam influenciando o percurso da e do estudante, por meio de uma diferença, principalmente, de capital cultural gerada pelo acesso diferenciado à escola básica.","vinculando, tal, base, outra, conteria, informações, sobre, matrículas"
PDI_UFABC,PDI UFABC.pdf,10,academica_formativa,"formatos inovadores para a oferta de determinados conteúdos atenderiam demandas pontuais e específicas, sem e que contemplam atividades de pesquisa, e/ou extensão, e/ou cultura, e/ou inovação, protagonizadas pela e pelo discente e integradas ao ensino.","formatos, inovadores, oferta, determinados, conteúdos, atenderiam, demandas, pontuais"
