doc,arquivo,token_count,culture_count,culture_per_1000,top_category,top_terms
PDI_UFABC,PDI UFABC.pdf,41615,91,2.19,artistica_patrimonial,"extensão, macro, ufabc, atividades, espaços, ingresso, raça, cor, arte, ações, tipo, docentes, política, número, gênero"
PDI_UFES,PDI UFES.pdf,22947,48,2.09,indefinido,"pesquisa, ensino, extensão, profissional, desenvolvimento, científico, conhecimentos, produção, científicos, promoção, criação, científica, atividades, promover, cursos"
PDI_UFF,PDI UFF.pdf,34915,30,0.86,indefinido,"uff, número, ações, forma, conhecimento, cursos, produção, social, formação, valores, voando, alto, pés, chão, promover"
PDI_UFJF,PDI UFJF.pdf,112478,293,2.6,indefinido,"ufjf, equipamentos, ações, será, espaços, pró, reitoria, projetos, procult, atividades, resultado, previsto, dados, promoção, é"
PDI_UFLA,PDI UFLA.pdf,59879,51,0.85,indefinido,"sociedade, formação, produção, conhecimento, extensão, patrimônio, ufla, ensino, pesquisa, acadêmica, conhecimentos, científico, tecnológico, organizacional, estudantes"
PDI_UFMG,PDI UFMG.pdf,123005,213,1.73,indefinido,"ufmg, ações, atividades, projetos, estudantes, saúde, extensão, desenvolvimento, pesquisa, meio, conhecimento, ensino, formação, gestão, política"
PDI_UFOP,PDI UFOP.pdf,34583,55,1.59,indefinido,"ufop, sociedade, extensão, ações, científico, projetos, atividades, é, pesquisa, inovação, social, formação, conhecimento, internacionalização, tecnológico"
PDI_UFRRJ,PDI UFRRJ.pdf,44433,49,1.1,artistica_patrimonial,"extensão, ações, ufrrj, pesquisa, x, política, projetos, ensino, graduação, parcerias, institucionais, recursos, ampliar, comunidade, comunicação"
PDI_UFSCAR,PDI UFSCAR.pdf,50115,91,1.82,artistica_patrimonial,"ufscar, produção, memória, extensão, gestão, atividades, políticas, ações, patrimônio, universitária, desenvolvimento, projetos, ensino, pesquisa, é"
PDI_UFSJ,PDI UFSJ.pdf,27116,35,1.29,artistica_patrimonial,"número, desenvolvimento, ufsj, projetos, pesquisa, atividades, ações, artístico, ensino, inovação, unidades, extensão, meio, programas, educação"
PDI_UFTM,PDI UFTM.pdf,27517,62,2.25,indefinido,"ano, quantidade, ações, percentual, graduação, número, desenvolvimento, cursos, uftm, é, meio, infraestrutura, pós, alunos, cooperação"
PDI_UFV,PDI UFV.pdf,86356,155,1.79,artistica_patrimonial,"atividades, extensão, desenvolvimento, ufv, ensino, pesquisa, ações, formação, arte, cientí, sociedade, plano, l, comunidade, áreas"
PDI_UFVJM,PDI UFVJM.pdf,36786,26,0.71,academica_formativa,"graduação, m, i, cursos, aumentar, número, ufvjm, extensão, ações, índice, ano, vigência, pós, menos, pesquisa"
PDI_Unifal,PDI Unifal.pdf,33119,28,0.85,artistica_patrimonial,"ações, m, ensino, i, desenvolvimento, meio, produção, número, aumentar, projetos, até, comunidade, acadêmica, estrangeiras, preservação"
PDI_Unifesp,PDI Unifesp.pdf,30358,44,1.45,indefinido,"extensão, social, educação, graduação, promover, gestão, é, ações, científica, pesquisa, sociedade, produção, conhecimentos, inovação, sustentabilidade"
PDI_Unirio,PDI Unirio.pdf,102211,227,2.22,inovacao_empreendedorismo,"inovação, artística, sociedade, científica, tecnológica, social, instituição, inclusão, criação, desenvolvimento, benefícios, estender, voltados, presencial, literária"
PIDE_UFU,PIDE UFU.pdf,23357,52,2.23,artistica_patrimonial,"extensão, estudantes, ec, ensino, taxa, ufu, pesquisa, atividades, benefícios, diretos, social, ações, cursos, eventos, programas"
