doc,arquivo,culture_count,culture_per_1000,presenca_discursiva,diversidade_discursiva,orientacao_estrategica,organograma_disponivel,nivel_organizacional,quadro_produtores,infraestrutura_normativa,componentes_utilizados,completude_percentual,idic_parcial,perfil_discursivo,termos_dominantes,unidade_cultura_nivel,unidade_cultura_nome,vinculacao_superior,produtores_culturais,politica_cultural,edital_fomento,espacos_culturais,observacoes
PDI_UFMG,PDI UFMG.pdf,213,1.73,3.5,4,2,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,84.38,indefinido,"ufmg, ações, atividades, projetos, estudantes, saúde, extensão, desenvolvimento, pesquisa, meio, conhecimento, ensino, formação, gestão, política",,,,,,,,
PDI_UFTM,PDI UFTM.pdf,62,2.25,3.5,4,2,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,84.38,indefinido,"ano, quantidade, ações, percentual, graduação, número, desenvolvimento, cursos, uftm, é, meio, infraestrutura, pós, alunos, cooperação",,,,,,,,
PDI_UFJF,PDI UFJF.pdf,293,2.6,4.0,4,1,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,81.25,indefinido,"ufjf, equipamentos, ações, será, espaços, pró, reitoria, projetos, procult, atividades, resultado, previsto, dados, promoção, é",,,,,,,,
PDI_UFRRJ,PDI UFRRJ.pdf,49,1.1,2.0,4,3,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,81.25,artistica_patrimonial,"extensão, ações, ufrrj, pesquisa, x, política, projetos, ensino, graduação, parcerias, institucionais, recursos, ampliar, comunidade, comunicação",,,,,,,,
PDI_UFSCAR,PDI UFSCAR.pdf,91,1.82,3.0,4,2,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,81.25,artistica_patrimonial,"ufscar, produção, memória, extensão, gestão, atividades, políticas, ações, patrimônio, universitária, desenvolvimento, projetos, ensino, pesquisa, é",,,,,,,,
PDI_UFV,PDI UFV.pdf,155,1.79,3.5,4,1,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,78.12,artistica_patrimonial,"atividades, extensão, desenvolvimento, ufv, ensino, pesquisa, ações, formação, arte, cientí, sociedade, plano, l, comunidade, áreas",,,,,,,,
PDI_Unirio,PDI Unirio.pdf,227,2.22,4.0,4,0,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,75.0,inovacao_empreendedorismo,"inovação, artística, sociedade, científica, tecnológica, social, instituição, inclusão, criação, desenvolvimento, benefícios, estender, voltados, presencial, literária",,,,,,,,
PDI_UFLA,PDI UFLA.pdf,51,0.85,1.5,4,2,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,71.88,indefinido,"sociedade, formação, produção, conhecimento, extensão, patrimônio, ufla, ensino, pesquisa, acadêmica, conhecimentos, científico, tecnológico, organizacional, estudantes",,,,,,,,
PDI_Unifesp,PDI Unifesp.pdf,44,1.45,2.0,3,2,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,68.75,indefinido,"extensão, social, educação, graduação, promover, gestão, é, ações, científica, pesquisa, sociedade, produção, conhecimentos, inovação, sustentabilidade",,,,,,,,
PDI_UFF,PDI UFF.pdf,30,0.86,1.0,4,1,4,,,,"presenca_discursiva, diversidade_discursiva, orientacao_estrategica, organograma_disponivel",57.14,62.5,indefinido,"uff, número, ações, forma, conhecimento, cursos, produção, social, formação, valores, voando, alto, pés, chão, promover",,,,,,,,
